Size (Bytes) | t_malloc (ns) | t_free (ns)
-------------------------------------------
           1 |           301 |         140
           2 |            78 |          43
           3 |            42 |          43
           4 |            70 |         113
           5 |            69 |          60
           6 |            59 |          43
           7 |            44 |          38
           8 |            73 |          42
           9 |            52 |          42
          10 |            38 |          42
          11 |            43 |          38
          12 |            53 |          36
          13 |            39 |          38
          14 |            38 |          35
          15 |            39 |          37
          16 |            47 |          45
          17 |            40 |          37
          18 |            40 |          39
          19 |            42 |          35
          20 |            52 |          40
          21 |            43 |          40
          22 |            39 |          39
          23 |            37 |          38
          24 |            48 |          39
          25 |            40 |          36
          26 |            39 |          40
          27 |            39 |          38
          28 |            54 |          45
          29 |            39 |          37
          30 |            39 |          37
          31 |            37 |          40
          32 |            52 |          57
          33 |            36 |          41
          34 |            38 |          41
          35 |            38 |          36
          36 |            49 |          39
          37 |            41 |          32
          38 |            41 |          39
          39 |            40 |          34
          40 |            56 |          37
          41 |            37 |          39
          42 |            40 |          38
          43 |            38 |          33
          44 |            50 |          41
          45 |            38 |          37
          46 |            38 |          42
          47 |            41 |          35
          48 |            52 |          39
          49 |            39 |          39
          50 |            40 |          38
          51 |            39 |          35
          52 |            54 |          40
          53 |            38 |          41
          54 |            40 |          32
          55 |            43 |          39
          56 |            50 |          38
          57 |            37 |          38
          58 |            38 |          40
          59 |            40 |          41
          60 |            53 |          37
          61 |            43 |          47
          62 |            40 |          48
          63 |            44 |          45
          64 |            58 |          43
          65 |            50 |          44
          66 |            41 |          36
          67 |            40 |          41
          68 |            41 |          37
          69 |            40 |          41
          70 |            52 |          40
          71 |            40 |          38
          72 |            51 |          37
          73 |            41 |          42
          74 |            43 |          44
          75 |            40 |          45
          76 |            52 |          35
          77 |            41 |          38
          78 |            41 |          38
          79 |            48 |          41
          80 |            54 |          40
          81 |            43 |          40
          82 |            75 |          43
          83 |            57 |          66
          84 |            58 |          41
          85 |            43 |          41
          86 |            42 |          43
          87 |            40 |          39
          88 |            56 |          40
          89 |            41 |          39
          90 |            41 |          41
          91 |            38 |          40
          92 |            54 |          36
          93 |            39 |          41
          94 |            43 |          41
          95 |            42 |          37
          96 |            50 |          41
          97 |            35 |          41
          98 |            40 |          52
          99 |            39 |          38
         100 |            52 |          40
         101 |            41 |          39
         102 |            43 |          40
         103 |            39 |          43
         104 |            54 |          52
         105 |            39 |          38
         106 |            39 |          38
         107 |            40 |          38
         108 |            53 |          41
         109 |            39 |          41
         110 |            41 |          35
         111 |            41 |          42
         112 |            46 |          40
         113 |            40 |          40
         114 |            38 |          38
         115 |            39 |          39
         116 |            50 |          41
         117 |            41 |          39
         118 |            40 |          38
         119 |            42 |          37
         120 |            55 |          40
         121 |            37 |          38
         122 |            37 |          40
         123 |            39 |          39
         124 |            52 |          43
         125 |            38 |          40
         126 |            38 |          38
         127 |            41 |          38
         128 |            49 |          39
         129 |            42 |          40
         130 |            40 |          37
         131 |            39 |          38
         132 |            52 |          42
         133 |            39 |          37
         134 |            42 |          38
         135 |            42 |          38
         136 |            53 |          36
         137 |            36 |          38
         138 |            40 |          40
         139 |            39 |          37
         140 |            51 |          39
         141 |            40 |          35
         142 |            40 |          42
         143 |            40 |          38
         144 |            55 |          37
         145 |            38 |          39
         146 |            37 |          39
         147 |            42 |          39
         148 |            54 |          38
         149 |            43 |          38
         150 |            37 |          40
         151 |            37 |          38
         152 |            52 |          41
         153 |            40 |          41
         154 |            39 |          42
         155 |            38 |          40
         156 |            49 |          38
         157 |            44 |          37
         158 |            40 |          41
         159 |            40 |          44
         160 |            47 |          39
         161 |            38 |          44
         162 |            46 |          51
         163 |            40 |          46
         164 |            53 |          39
         165 |            42 |          38
         166 |            38 |          37
         167 |            41 |          44
         168 |            50 |          39
         169 |            38 |          38
         170 |            42 |          38
         171 |            39 |          45
         172 |            54 |          38
         173 |            40 |          38
         174 |            41 |          40
         175 |            45 |          48
         176 |            51 |          37
         177 |            40 |          40
         178 |            41 |          38
         179 |            44 |          40
         180 |            50 |          39
         181 |            42 |          41
         182 |            41 |          41
         183 |            41 |          40
         184 |            52 |          42
         185 |            38 |          40
         186 |            38 |          40
         187 |            40 |          38
         188 |            51 |          37
         189 |            36 |          38
         190 |            66 |          63
         191 |            61 |          44
         192 |            56 |          51
         193 |            43 |          41
         194 |            47 |          46
         195 |            47 |          41
         196 |            79 |          45
         197 |            46 |          38
         198 |            43 |          44
         199 |            49 |          42
         200 |            55 |          41
         201 |            37 |          41
         202 |            40 |          40
         203 |            47 |          51
         204 |            50 |          43
         205 |            42 |          43
         206 |            40 |          42
         207 |            43 |          40
         208 |            53 |          38
         209 |            39 |          41
         210 |            40 |          38
         211 |            42 |          38
         212 |            55 |          43
         213 |            37 |          39
         214 |            42 |          37
         215 |            43 |          40
         216 |            53 |          55
         217 |            41 |          39
         218 |            42 |          42
         219 |            38 |          39
         220 |            47 |          40
         221 |            41 |          38
         222 |            43 |          42
         223 |            42 |          42
         224 |            53 |          40
         225 |            40 |          42
         226 |            46 |          41
         227 |            39 |          38
         228 |            52 |          42
         229 |            42 |          41
         230 |            40 |          46
         231 |            40 |          42
         232 |            50 |          40
         233 |            44 |          37
         234 |            41 |          40
         235 |            41 |          43
         236 |            52 |          41
         237 |            42 |          46
         238 |            41 |          40
         239 |            46 |          46
         240 |            50 |          38
         241 |            40 |          42
         242 |            40 |          49
         243 |            41 |          41
         244 |            49 |          41
         245 |            40 |          40
         246 |            46 |          41
         247 |            39 |          43
         248 |            52 |          45
         249 |            39 |          43
         250 |            46 |          42
         251 |            40 |          40
         252 |            52 |          41
         253 |            40 |          41
         254 |            38 |          42
         255 |            40 |          40
         256 |            48 |          40
         257 |            40 |          42
         258 |            39 |          40
         259 |            38 |          40
         260 |            52 |          41
         261 |            39 |          44
         262 |            37 |          44
         263 |            39 |          39
         264 |            49 |          37
         265 |            41 |          38
         266 |            39 |          37
         267 |            40 |          38
         268 |            50 |          40
         269 |            38 |          41
         270 |            38 |          38
         271 |            38 |          37
         272 |            50 |          40
         273 |            38 |          43
         274 |            39 |          40
         275 |            40 |          40
         276 |            51 |          36
         277 |            38 |          37
         278 |            41 |          37
         279 |            40 |          45
         280 |            51 |          44
         281 |            38 |          43
         282 |            39 |          41
         283 |            40 |          38
         284 |            48 |          38
         285 |            40 |          41
         286 |            40 |          40
         287 |            39 |          40
         288 |            50 |          41
         289 |            41 |          47
         290 |            40 |          40
         291 |            38 |          44
         292 |            51 |          38
         293 |            42 |          49
         294 |            39 |          41
