Time(ns),Utilization(%)
7258,99.94
12578,99.93
13585,5.40
16121,61.79
21588,72.33
22344,31.55
23179,27.64
25336,32.95
26181,32.95
30079,61.52
30891,33.88
36063,61.06
38203,72.09
43335,79.32
45595,84.24
46304,79.32
47017,53.38
47726,51.07
48667,38.61
49543,8.17
51639,34.20
52598,26.03
54816,54.53
55880,26.03
57842,28.04
59974,38.35
62671,49.55
65302,71.69
67398,80.50
74038,84.33
75006,64.67
77639,72.36
82827,75.68
86442,80.98
87265,73.06
89437,73.92
91794,74.59
94197,83.41
99737,85.77
100577,78.21
103099,85.47
105590,88.21
111106,89.98
117613,91.01
123069,92.14
123888,85.26
124587,81.71
130346,83.19
131293,74.47
136526,76.77
138935,81.98
141182,89.14
144094,90.24
146329,95.10
151482,95.22
152322,87.94
153072,86.45
156066,91.59
162753,92.34
168237,92.76
173607,93.04
174414,84.99
176759,91.56
177455,85.80
182903,86.83
185775,91.42
186452,90.92
191688,91.39
197014,91.70
203788,92.22
209391,92.69
210322,88.99
212889,89.18
215447,90.32
217843,92.46
223177,92.88
228562,93.28
229406,89.32
230138,85.79
230785,80.14
233614,80.18
236328,81.42
239333,83.58
241644,86.53
242468,83.71
245072,84.62
248946,87.97
251944,90.10
254448,91.31
260005,91.71
262786,94.32
268446,94.43
269226,92.41
272173,93.76
277592,93.89
282943,94.01
283779,91.52
286793,93.13
287541,92.98
294569,93.10
300436,93.19
301198,91.62
307272,91.92
309926,93.34
310678,91.55
314855,91.75
315552,89.33
318558,91.12
319337,89.38
320088,85.03
322758,88.73
328307,89.12
329855,89.19
335528,89.54
341253,89.96
348362,90.34
351104,91.28
354411,92.17
360360,92.46
366204,92.75
366907,89.68
367585,87.98
370224,91.43
373549,92.16
374293,89.55
374986,86.13
377683,87.59
380979,88.69
381701,85.84
385067,87.59
388423,89.36
391127,90.28
391942,88.87
392681,85.25
393355,82.40
394168,79.21
398384,80.49
401132,83.29
404292,85.64
407221,88.43
413175,88.78
419009,89.16
424894,89.50
425720,86.97
426542,86.16
432367,86.63
433251,85.32
439045,85.74
439782,82.56
442713,83.66
443602,82.97
444317,81.91
448382,83.85
451425,84.96
452162,84.45
455358,86.18
458706,88.90
459466,88.20
