Time(ns),Utilization(%)
6378,99.94
11719,99.93
12907,5.40
15609,61.79
21014,72.33
21886,31.55
22777,27.64
25361,32.95
26279,32.95
30004,61.52
30909,33.88
36248,61.06
38418,72.09
43620,79.32
45763,84.24
46483,79.32
47197,53.38
47920,51.07
48900,38.61
49833,8.17
52479,34.20
53465,26.03
58859,42.43
59936,20.26
62004,21.82
64015,29.84
66026,38.56
68508,55.79
70651,62.65
74950,81.69
75956,62.65
78741,70.10
80896,83.36
85581,84.27
86457,76.03
88449,76.93
90506,77.62
92488,86.80
97774,88.74
98504,80.92
100487,88.43
106057,88.75
111370,90.45
118049,91.43
123420,92.51
124223,85.61
125017,82.04
130243,83.50
131298,74.75
136937,77.03
139241,82.26
142211,89.44
144412,90.54
149961,90.98
152121,93.52
153043,86.37
153778,84.91
156619,89.95
166039,90.83
171797,91.33
177313,91.66
178086,83.73
180312,90.21
181149,84.53
186643,85.64
188843,90.16
189607,89.67
195072,90.19
200673,90.55
207841,91.13
213571,91.66
214522,88.00
216507,88.19
218723,89.32
221531,91.43
227092,91.90
232528,92.36
233290,88.44
234040,84.94
234741,79.34
236759,79.39
238995,80.62
242007,82.75
244236,85.68
245045,82.88
247258,83.79
251062,87.10
254019,89.21
256910,90.41
262454,90.85
268271,91.08
274264,91.25
275119,89.30
278028,90.60
284400,90.79
290737,90.97
291602,88.55
293938,90.12
294778,89.97
301671,90.13
304194,91.45
304984,89.91
310691,90.27
313001,91.66
313854,89.91
316202,92.27
316948,89.84
319771,91.64
320518,89.89
321278,85.51
323689,89.23
329823,89.61
331905,89.68
337480,90.01
344897,90.42
350717,90.78
354872,91.73
357310,92.63
363074,92.90
368690,93.17
369428,90.09
370144,88.38
372210,91.85
375312,92.58
376238,89.96
376999,86.53
379898,87.99
382231,89.10
383081,86.23
386051,87.99
390653,89.77
393148,90.70
393870,89.28
394560,85.64
395225,82.77
396058,79.57
398029,80.86
400343,83.67
403390,86.03
406721,88.84
412719,89.17
418724,89.54
424487,89.87
425222,87.33
425974,86.52
431762,86.97
432600,85.66
435071,88.62
435808,85.34
440246,86.47
441172,85.76
441901,84.66
444058,86.68
447198,87.82
447924,87.29
450498,89.08
457121,89.38
458036,88.67
458799,88.58
464590,88.89
465397,88.57
466111,88.45
469334,89.30
475351,89.49
476154,86.67
476878,83.83
479860,85.52
483288,86.97
489320,87.32
496581,87.50
497398,86.04
500294,87.47
506241,87.66
508722,88.19
511007,88.98
511886,87.99
517776,88.30
523982,88.48
530031,88.74
532290,89.61
533041,87.10
535183,87.37
538701,87.73
539438,86.15
542442,87.51
545732,88.46
546458,87.19
549239,89.59
555337,89.79
557382,89.83
560573,90.72
561311,88.49
564282,89.85
570274,89.95
576615,90.19
577370,88.18
578039,85.90
578781,83.57
582181,85.22
584894,86.98
592275,87.28
594548,87.54
595284,86.78
601462,87.11
603978,87.88
607524,89.63
613851,89.87
614593,87.55
617945,88.97
624272,89.24
627236,89.89
627933,87.52
628648,87.28
629391,85.13
632043,86.42
635559,87.46
640284,88.51
646320,88.78
648696,89.56
650067,90.22
656213,90.35
662427,90.53
663200,88.49
664028,87.44
667118,89.29
673758,89.46
680290,89.62
687083,89.78
687717,88.64
695917,88.88
699319,89.79
705674,89.92
707898,90.07
714402,90.27
715216,89.39
721669,89.56
728103,89.76
730828,90.49
733666,91.06
741367,91.22
743922,91.70
746855,92.40
747593,91.50
748372,90.34
749051,88.85
749754,87.17
753049,88.63
755127,88.64
755928,88.16
758160,88.38
760245,88.56
761047,88.16
764616,89.17
771172,89.36
777838,89.48
780619,90.34
787271,90.45
788102,90.27
793623,91.09
795759,91.19
802425,91.29
809005,91.38
815847,91.46
816760,90.86
819025,91.12
821267,91.34
824085,91.90
830661,92.00
832999,92.10
841178,92.23
841932,91.55
848398,91.60
851395,92.20
853875,92.47
860830,92.55
861579,91.50
864924,92.18
867557,92.82
874318,92.92
876470,93.00
877334,92.83
879368,92.92
880162,91.26
884131,92.59
886806,92.99
887652,91.86
888453,90.86
896754,90.98
900004,91.53
902657,91.85
906150,92.58
912905,92.62
919686,92.70
926182,92.79
933054,92.83
939805,92.90
940657,91.46
941389,91.28
