Time(ns),Utilization(%)
10386,99.66
11610,0.00
14070,74.55
20768,93.12
23598,95.75
26136,99.04
32883,99.39
33909,97.75
34637,52.33
37710,73.45
41434,84.35
44121,95.20
50345,95.47
57467,95.91
60353,96.88
67113,97.80
73854,98.34
80607,98.67
81558,94.20
84106,96.73
84855,96.00
92831,96.66
95887,97.40
96729,95.63
97339,84.31
104270,86.60
107911,90.67
114965,91.91
122009,92.67
128963,93.00
132010,94.51
138698,94.98
139647,92.20
142376,92.51
150519,92.93
157592,93.26
158529,88.54
161231,92.83
168163,93.26
175336,93.43
182445,93.81
189504,94.30
190507,92.95
191188,92.64
191875,85.73
194813,86.61
203171,87.49
204219,80.01
204926,79.19
208448,85.47
212199,85.82
215759,88.38
223128,89.14
224211,88.37
231128,88.73
238248,89.39
239192,83.43
242762,88.39
243548,86.54
250453,87.34
253847,87.96
262293,88.25
269572,88.55
272917,89.61
280090,89.79
287774,90.04
294951,90.27
302209,90.41
309605,90.66
318120,90.98
319064,87.14
319855,87.05
327066,87.59
328021,85.45
340826,86.07
345089,86.94
348448,87.88
355501,88.27
356447,87.46
360142,88.86
367396,89.24
368283,85.27
368962,84.75
372071,87.93
372869,85.24
379998,85.64
380992,82.63
381621,81.27
382275,77.60
386884,77.86
387699,76.61
391456,78.22
398990,79.06
403240,80.02
404085,76.80
407845,78.08
408707,75.47
411813,77.48
412631,75.49
416377,77.47
423728,78.28
428092,78.89
435602,79.54
439281,81.26
447978,81.82
455664,82.28
456582,78.83
460437,81.35
468024,81.92
471536,83.29
479125,83.82
480108,80.76
480817,79.00
481500,76.10
482224,75.89
485700,78.83
489742,80.67
497314,81.15
501128,82.69
505382,83.45
506183,82.26
506796,80.93
515674,81.53
523582,81.96
531314,82.34
535322,82.84
539455,83.47
540363,80.92
540973,79.54
541706,79.23
542317,78.28
545936,78.62
546630,76.15
554579,76.73
562235,77.33
563137,76.65
563731,75.06
564404,72.42
567930,72.53
571989,74.21
577290,74.38
581488,76.48
582212,74.80
582855,74.20
586932,75.06
587847,74.20
591269,76.21
592197,75.01
595646,75.32
599719,77.13
603284,78.64
607398,79.42
611496,80.24
615099,81.03
622938,81.56
630735,81.87
634650,81.90
635522,79.92
640822,80.55
641694,78.09
649487,78.65
650413,78.03
654720,78.94
658697,79.21
659418,78.03
663562,78.86
664386,77.83
668588,78.46
676589,78.72
684747,79.14
692556,79.56
693496,78.29
697799,78.82
701581,79.10
707386,79.48
708174,77.62
715865,78.13
716970,77.55
720760,78.10
724803,79.28
725677,76.82
726321,74.71
730504,76.02
735051,76.88
742839,77.34
747431,78.30
748240,78.19
751945,78.89
755804,78.98
759707,79.76
767452,80.01
768406,78.31
773230,80.37
774101,79.19
777730,80.02
781554,80.15
789293,80.61
790210,79.86
790841,78.75
795210,79.65
796025,79.62
803723,79.95
804650,79.70
812330,80.15
813396,78.55
814004,77.50
817749,79.05
825680,79.41
826667,77.21
831033,79.19
831880,78.44
836440,78.73
845384,79.04
846371,78.43
850482,78.83
858634,79.19
859515,78.76
867237,79.09
875498,79.35
879707,80.50
883750,81.17
884573,79.81
892381,80.20
897507,81.18
906748,81.33
915267,81.64
919653,82.26
923835,82.33
931937,82.54
940164,82.72
941059,82.66
949215,82.89
957428,83.17
965866,83.29
966749,83.00
976169,83.17
977136,82.83
981589,83.02
985675,83.57
993814,83.82
994751,82.44
998784,83.52
1006701,83.67
1007767,83.11
1012264,83.34
1016426,84.15
1024715,84.35
1029136,84.59
1033302,84.89
1042668,85.13
1051221,85.32
1056100,85.62
1064543,85.71
1069293,85.73
1074372,86.02
1075279,84.59
1080127,85.12
1084478,85.97
1085200,84.54
1085855,83.33
1086465,81.60
1091259,82.42
1095803,82.75
1100701,83.53
1101610,82.62
1106218,83.45
1115816,83.65
1116853,82.14
1121825,83.00
1130498,83.18
1131546,82.34
1132152,81.20
1137169,81.54
1145757,81.77
1146723,81.03
1147414,79.82
1148030,78.96
1152386,79.94
1160650,80.26
1165447,80.87
1173798,81.09
1179219,81.84
1188783,82.01
1193937,82.48
1194804,81.53
1203298,81.76
1204328,80.54
1208816,81.67
1215755,82.05
1224681,82.22
1225645,81.74
1230683,81.86
1239339,82.07
1240455,80.96
1241118,80.69
1245697,81.55
1250383,82.31
1257213,82.60
1265860,82.86
1266878,82.80
1275472,83.04
1280573,83.66
1289072,83.86
1294844,83.99
1299818,84.19
1305276,84.26
1313995,84.45
1323063,84.55
1336214,84.73
1337316,83.43
1343266,84.02
1352292,84.24
1361372,84.39
1366271,85.07
1371251,85.26
1372106,85.03
1380952,85.18
1386605,85.23
1387437,84.38
1388105,83.23
1388727,82.46
1394145,83.00
1395158,82.85
1404105,83.02
1410690,83.11
1411577,83.06
1412221,82.20
1421032,82.43
1422056,81.26
1430834,81.50
1436335,81.60
1441699,82.29
1447502,82.72
1452740,82.77
1461576,82.94
1467562,83.36
1472596,84.13
1478253,84.51
1488295,84.72
1493978,85.02
1499281,85.07
1504513,85.19
1513645,85.27
1514670,84.55
1523810,84.69
1524872,84.64
1529934,85.14
1539019,85.21
1540017,83.94
1545625,84.74
1546427,83.47
1551409,84.68
1552111,83.66
1552790,82.73
1557930,82.74
1563056,82.85
1569769,83.30
1579023,83.46
1585328,83.82
1586181,83.45
1592088,83.65
1597537,83.68
1598467,82.62
1607693,82.83
1613313,83.60
1614172,82.78
1614793,81.94
1620465,82.59
1626654,82.80
1635645,82.91
1636607,82.62
1644218,82.76
1655415,82.87
1660932,83.44
1670218,83.63
1676179,83.69
1685367,83.78
1686330,83.22
1695714,83.37
1702862,83.81
1708486,83.91
1717771,84.04
1728619,84.12
1738508,84.28
1739561,83.56
1744846,84.39
1754231,84.47
1763983,84.65
1764960,84.14
1770806,84.38
1771632,83.84
1777632,84.02
1787118,84.19
1797044,84.29
1803054,84.59
1803890,84.03
1814902,84.18
1815886,83.87
1821663,84.31
1831504,84.41
1832731,83.64
1842276,83.78
1843292,83.33
1848830,83.96
1849655,83.78
1858970,83.88
1868777,84.00
1878713,84.17
1885541,84.19
1896613,84.27
1902757,84.71
1908483,84.74
1914480,84.87
1915242,84.37
1924839,84.46
1934947,84.61
1945216,84.76
1946204,84.43
1946866,84.07
1952866,84.51
1962682,84.62
1963682,84.42
1974797,84.58
